epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.58,3.4323,2.17561,2.4122,0.90904,0.83211,0.8887,0.59631,3.54404,1.43932,2.69389,0.00333105,0.00333105,0.00333105
2,1173.66,2.6785,1.09234,2.10627,0.96245,0.94582,0.97528,0.76688,2.2495,0.8934,2.09044,0.00659841,0.00659841,0.00659841
3,1747.07,2.48531,1.02347,2.03837,0.9577,0.95661,0.97715,0.77453,2.22067,0.9258,2.06706,0.00979976,0.00979976,0.00979976
4,2318.71,2.3045,0.94778,1.98399,0.97057,0.96806,0.98323,0.79975,2.00822,0.81108,1.99921,0.009703,0.009703,0.009703
5,2890.02,2.07289,0.86532,1.91489,0.9762,0.9593,0.98579,0.82551,1.87899,0.75643,1.95376,0.009604,0.009604,0.009604
6,3460.99,1.92405,0.80092,1.87426,0.97747,0.96537,0.98664,0.8326,1.85867,0.75342,1.94657,0.009505,0.009505,0.009505
7,4030.53,1.8255,0.76418,1.84777,0.97823,0.9715,0.98817,0.86249,1.66104,0.67587,1.8902,0.009406,0.009406,0.009406
8,4600.1,1.74289,0.72884,1.82362,0.98484,0.97562,0.98964,0.87133,1.63719,0.64875,1.87976,0.009307,0.009307,0.009307
9,5170.28,1.68147,0.70432,1.80716,0.98445,0.9759,0.99071,0.88156,1.54633,0.6077,1.85447,0.009208,0.009208,0.009208
10,5740.15,1.63096,0.6821,1.79256,0.98075,0.97767,0.99101,0.88804,1.49618,0.58907,1.84136,0.009109,0.009109,0.009109
11,6310.82,1.58975,0.66083,1.78367,0.98244,0.97851,0.99082,0.89268,1.45259,0.58014,1.82843,0.00901,0.00901,0.00901
12,6881.2,1.55093,0.64769,1.77131,0.98532,0.97675,0.99136,0.89528,1.43891,0.5708,1.82223,0.008911,0.008911,0.008911
13,7451.42,1.52346,0.63088,1.7638,0.98033,0.97876,0.99195,0.90088,1.39965,0.5458,1.81003,0.008812,0.008812,0.008812
14,8022.46,1.49588,0.61989,1.75541,0.98691,0.98323,0.99286,0.9085,1.3692,0.52464,1.80333,0.008713,0.008713,0.008713
15,8593.53,1.45918,0.60302,1.74797,0.98998,0.98287,0.99315,0.91292,1.32593,0.50951,1.78979,0.008614,0.008614,0.008614
16,9163.69,1.43747,0.59183,1.74174,0.98866,0.9835,0.99326,0.91577,1.29947,0.50148,1.78257,0.008515,0.008515,0.008515
17,9733.8,1.41693,0.57951,1.73742,0.98484,0.97734,0.99313,0.91736,1.27766,0.49376,1.77587,0.008416,0.008416,0.008416
18,10304.3,1.39918,0.57531,1.73149,0.99072,0.98358,0.99368,0.91868,1.24911,0.48128,1.76743,0.008317,0.008317,0.008317
19,10874.6,1.38408,0.56391,1.72803,0.99015,0.98475,0.99387,0.92415,1.23069,0.47059,1.76077,0.008218,0.008218,0.008218
20,11444.9,1.36097,0.5554,1.72221,0.99255,0.98458,0.99371,0.92463,1.2216,0.46484,1.75876,0.008119,0.008119,0.008119
21,12016.3,1.34457,0.54714,1.71654,0.99356,0.98663,0.99415,0.92806,1.19125,0.45048,1.75084,0.00802,0.00802,0.00802
22,12587.8,1.33147,0.53906,1.71523,0.99277,0.98714,0.99395,0.92942,1.18346,0.44728,1.7474,0.007921,0.007921,0.007921
23,13159.4,1.31836,0.53543,1.71044,0.99413,0.98697,0.9943,0.93126,1.16696,0.43654,1.74327,0.007822,0.007822,0.007822
24,13729,1.30194,0.52516,1.70744,0.99328,0.98701,0.99441,0.93366,1.15264,0.43037,1.73935,0.007723,0.007723,0.007723
25,14299.2,1.29297,0.52097,1.70453,0.99356,0.98738,0.99443,0.93506,1.13739,0.42424,1.7348,0.007624,0.007624,0.007624
26,14868.5,1.27191,0.51473,1.69958,0.99059,0.98634,0.99456,0.9363,1.12291,0.41933,1.73118,0.007525,0.007525,0.007525
27,15439.3,1.25828,0.50792,1.69604,0.99437,0.98734,0.99453,0.93807,1.11043,0.40978,1.72704,0.007426,0.007426,0.007426
28,16009,1.24833,0.50287,1.69378,0.9919,0.98629,0.99458,0.93972,1.10024,0.40564,1.72448,0.007327,0.007327,0.007327
29,16579.1,1.2385,0.5022,1.69105,0.98677,0.98382,0.99444,0.93997,1.08812,0.40517,1.72094,0.007228,0.007228,0.007228
30,17149.6,1.22829,0.49576,1.68907,0.99274,0.98464,0.99457,0.94135,1.07798,0.40044,1.71884,0.007129,0.007129,0.007129
31,17720,1.22106,0.4905,1.68687,0.99345,0.98929,0.99458,0.94204,1.07377,0.39532,1.7176,0.00703,0.00703,0.00703
32,18290.1,1.21256,0.48442,1.68633,0.99075,0.98715,0.99464,0.94312,1.06543,0.39134,1.71503,0.006931,0.006931,0.006931
33,18860.2,1.20308,0.48097,1.68302,0.99467,0.98611,0.99463,0.94364,1.05774,0.38754,1.71248,0.006832,0.006832,0.006832
34,19430.1,1.19073,0.47521,1.67917,0.99438,0.9875,0.99468,0.94508,1.04909,0.38345,1.71021,0.006733,0.006733,0.006733
35,20000.8,1.17646,0.46917,1.67597,0.98816,0.98219,0.99459,0.94589,1.04035,0.38211,1.70772,0.006634,0.006634,0.006634
36,20570.9,1.17137,0.4674,1.6743,0.99159,0.98541,0.99475,0.94686,1.03348,0.37712,1.70581,0.006535,0.006535,0.006535
37,21140.8,1.16661,0.46277,1.67315,0.99409,0.98846,0.99476,0.9474,1.02855,0.37458,1.70425,0.006436,0.006436,0.006436
38,21710,1.16098,0.46265,1.67272,0.992,0.9836,0.99471,0.94771,1.02526,0.37224,1.70315,0.006337,0.006337,0.006337
39,22279.8,1.14896,0.4557,1.66966,0.99446,0.98822,0.99478,0.94859,1.02191,0.37013,1.70193,0.006238,0.006238,0.006238
40,22851.2,1.14495,0.4523,1.66721,0.99383,0.98882,0.9948,0.94889,1.01859,0.36759,1.70067,0.006139,0.006139,0.006139
41,23421.7,1.13237,0.44909,1.6657,0.99374,0.98878,0.9948,0.94931,1.01515,0.36599,1.69962,0.00604,0.00604,0.00604
42,23991.8,1.13136,0.44889,1.66584,0.99386,0.98787,0.9948,0.94964,1.01085,0.36357,1.69854,0.005941,0.005941,0.005941
